Time,Region Code,Region,Voting ratio of election for the House of Councillors (Single constituencies) %,Annotation
1983,01000,Hokkaido,57.12,
1986,01000,Hokkaido,74.04,
1989,01000,Hokkaido,70.9,
1992,01000,Hokkaido,59.04,
1995,01000,Hokkaido,46.92,
1998,01000,Hokkaido,59.9,
2001,01000,Hokkaido,58.47,
2004,01000,Hokkaido,61.74,
2007,01000,Hokkaido,62.4,
2010,01000,Hokkaido,61.89,
2013,01000,Hokkaido,54.41,
2016,01000,Hokkaido,56.78,
2019,01000,Hokkaido,53.76,
2022,01000,Hokkaido,53.98,
1983,02000,Aomori,53.98,
1986,02000,Aomori,74.32,
1989,02000,Aomori,61.45,
1992,02000,Aomori,43.87,
1995,02000,Aomori,46.1,
1998,02000,Aomori,63.07,
2001,02000,Aomori,51,
2004,02000,Aomori,53.91,
2007,02000,Aomori,53.88,
2010,02000,Aomori,54.55,
2013,02000,Aomori,46.25,
2016,02000,Aomori,55.31,
2019,02000,Aomori,42.94,
2022,02000,Aomori,49.49,
1983,03000,Iwate,57.8,
1986,03000,Iwate,76.36,
1989,03000,Iwate,70.9,
1992,03000,Iwate,59.31,
1995,03000,Iwate,56.4,
1998,03000,Iwate,65.12,
2001,03000,Iwate,65.98,
2004,03000,Iwate,63.33,
2007,03000,Iwate,63.4,
2010,03000,Iwate,60.36,
2013,03000,Iwate,57.53,
2016,03000,Iwate,57.78,
2019,03000,Iwate,56.55,
2022,03000,Iwate,55.38,
1983,04000,Miyagi,53.86,
1986,04000,Miyagi,71.69,
1989,04000,Miyagi,61.19,
1992,04000,Miyagi,48.48,
1995,04000,Miyagi,41.06,
1998,04000,Miyagi,54.27,
2001,04000,Miyagi,55.55,
2004,04000,Miyagi,53.92,
2007,04000,Miyagi,55.79,
2010,04000,Miyagi,53.34,
2013,04000,Miyagi,50.75,
2016,04000,Miyagi,52.39,
2019,04000,Miyagi,51.17,
2022,04000,Miyagi,48.8,
1983,05000,Akita,63.72,
1986,05000,Akita,81.23,
1989,05000,Akita,74.49,
1992,05000,Akita,61.59,
1995,05000,Akita,56.98,
1998,05000,Akita,64.11,
2001,05000,Akita,60.73,
2004,05000,Akita,65.32,
2007,05000,Akita,67.7,
2010,05000,Akita,65.05,
2013,05000,Akita,56.19,
2016,05000,Akita,60.87,
2019,05000,Akita,56.29,
2022,05000,Akita,55.56,
1983,06000,Yamagata,65.23,
1986,06000,Yamagata,82.45,
1989,06000,Yamagata,75.2,
1992,06000,Yamagata,61.49,
1995,06000,Yamagata,59.06,
1998,06000,Yamagata,64.38,
2001,06000,Yamagata,63.14,
2004,06000,Yamagata,61.75,
2007,06000,Yamagata,67.29,
2010,06000,Yamagata,63.97,
2013,06000,Yamagata,60.76,
2016,06000,Yamagata,62.22,
2019,06000,Yamagata,60.74,
2022,06000,Yamagata,61.87,
1983,07000,Fukushima,68.69,
1986,07000,Fukushima,78.42,
1989,07000,Fukushima,71.69,
1992,07000,Fukushima,59.13,
1995,07000,Fukushima,51.74,
1998,07000,Fukushima,65.23,
2001,07000,Fukushima,60.88,
2004,07000,Fukushima,60.34,
2007,07000,Fukushima,61.57,
2010,07000,Fukushima,61.63,
2013,07000,Fukushima,54.52,
2016,07000,Fukushima,57.12,
2019,07000,Fukushima,52.41,
2022,07000,Fukushima,53.4,
1983,08000,Ibaraki,50.71,
1986,08000,Ibaraki,71.67,
1989,08000,Ibaraki,61.51,
1992,08000,Ibaraki,36.62,
1995,08000,Ibaraki,36.94,
1998,08000,Ibaraki,50.99,
2001,08000,Ibaraki,50.18,
2004,08000,Ibaraki,50.07,
2007,08000,Ibaraki,54,
2010,08000,Ibaraki,55.11,
2013,08000,Ibaraki,49.66,
2016,08000,Ibaraki,50.77,
2019,08000,Ibaraki,45.02,
2022,08000,Ibaraki,47.22,
1983,09000,Tochigi,55.31,
1986,09000,Tochigi,70.72,
1989,09000,Tochigi,62.14,
1992,09000,Tochigi,53.79,
1995,09000,Tochigi,35.94,
1998,09000,Tochigi,56.76,
2001,09000,Tochigi,53.85,
2004,09000,Tochigi,50.99,
2007,09000,Tochigi,56.66,
2010,09000,Tochigi,56.59,
2013,09000,Tochigi,49.69,
2016,09000,Tochigi,51.38,
2019,09000,Tochigi,44.14,
2022,09000,Tochigi,46.98,
1983,10000,Gunma,67.66,
1986,10000,Gunma,80.34,
1989,10000,Gunma,71.23,
1992,10000,Gunma,56.69,
1995,10000,Gunma,53.12,
1998,10000,Gunma,60.7,
2001,10000,Gunma,58.74,
2004,10000,Gunma,58,
2007,10000,Gunma,54.6,
2010,10000,Gunma,58.55,
2013,10000,Gunma,51.75,
2016,10000,Gunma,50.51,
2019,10000,Gunma,48.18,
2022,10000,Gunma,48.49,
1983,11000,Saitama,50.6,
1986,11000,Saitama,65.11,
1989,11000,Saitama,59.45,
